"Adress" "lat" "long"
"128" "Entally" -37.7419169 144.7651316
"129" "Kaikhali" 23.3171746 88.6623382454002
"130" "Dash Drone, Rajarhat Newtown" NA NA
"131" "Rabindra Pally, Keshtopur" NA NA
"132" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"133" "Rajdanga Gardens, Kasba" NA NA
"134" "Kaikhali" 23.3171746 88.6623382454002
"135" "Baghajatin" 22.4839937 88.3755826
"136" "Lake Town" 22.6057276 88.4029611
"137" "Keshtopur" 22.59781745 88.4270025129803
"138" "Salt Lake City" 40.7596198 -111.8867975
"139" "South Baksara" NA NA
"140" "Chandannagar, Hooghly-Chinsurah" NA NA
"141" "Sukhpally, Haltu" NA NA
"142" "Kasba" 25.8779519 87.5469272217681
"143" "Sakher Bazar, Purba Barisha" NA NA
"144" "Garia Dhalua Nabapally" NA NA
"145" "Chinar Park, Rajarhat" 22.6236199 88.4410164
"146" "Konnagar" 22.69972 88.3519784
"147" "Behala silpara" NA NA
"148" "Vip Road" 35.3303734 -80.7131208
"149" "New Barrakpur" NA NA
"150" "Thakurpukur, Kolkata" 22.464368 88.3075294
"151" "Kaikhali" 23.3171746 88.6623382454002
"152" "Phool Bagan, Kankurgachi" NA NA
"153" "Hindmotor" 22.683216 88.3482375
"154" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"155" "Howrah" 22.5736296 88.3251045
"156" "Benia Pukur" NA NA
"157" "Baguiati" 22.609668 88.4276832
"158" "E M Bypass" NA NA
"159" "Panchanan Tola, Thakurpukur" NA NA
"160" "VIP Nagar, E M Bypass" NA NA
"161" "Jadavpur" 22.502513 88.3676051
"162" "Behala" 22.4976756 88.3176763
"163" "Dum Dum Cantonment" 22.6364899 88.4120228
"164" "New Garia, Garia" 22.4727076 88.3977962
"165" "Salt Lake City Sector 3" 22.5788222 88.41778335
"166" "Mominpur" 22.524588 88.3218754
"167" "Halisahar Station Road, Kanchrapara" 22.9462392 88.4513783
"168" "Santoshpur" 22.5240566 88.2710655
"169" "Dunlop, Dakshineswar, Belgharia Expressway" NA NA
"170" "Ballygunge" 22.5204877 88.3721746
"171" "Baguihati" 22.61139775 88.4284820769643
"172" "Kabardanga" NA NA
"173" "Jadavpur" 22.502513 88.3676051
"174" "Behala Chowrasta" 22.4873492 88.3133627
"175" "Haltu" 22.510785 88.381874
"176" "Botanical Garden Area" 12.49065855 122.535962887404
"177" "Bonhooghly" NA NA
"178" "Nilgung Old Bazar" NA NA
"179" "Teghoria, Baguiati" 22.63012025 88.4338489
"180" "Survey Park" 38.64852035 -77.181378589662
"181" "Baguiati" 22.609668 88.4276832
"182" "Kanchrapara" 22.9496431 88.4378838
"183" "Jote Shibrampur, Joth Shibrampur" NA NA
"184" "Ultadanga" 22.5961275 88.3852833
"185" "Birati" 22.6632119 88.4271269
"186" "Chinar Park, Rajarhat" 22.6236199 88.4410164
"187" "Bagha Jatin Pally" 22.4828516 88.3866633
"188" "rishi aurobindo sarani neat NIOH hospital" NA NA
"189" "Dum Dum Metro" 22.64539635 88.4370975725473
"190" "Baranagar" 22.6493438 88.3685302
"191" "Tollygunge" 22.5002426 88.3490494
"192" "Airport Near Gate No. 21/2" NA NA
"193" "Purbasa" NA NA
"194" "Jadavpur" 22.502513 88.3676051
"195" "Jadavpur" 22.502513 88.3676051
"196" "Barasat-Barrackpore Road" 22.7430296 88.4545249
"197" "Keshtopur" 22.59781745 88.4270025129803
"198" "Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road" NA NA
"199" "Keshtopur" 22.59781745 88.4270025129803
"200" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"201" "jadavpur central park east" NA NA
"202" "Garia" 22.4673397 88.3997883
"203" "Tn Chatterjee Street" 22.5737737 88.3643493
"204" "Kaikhali" 23.3171746 88.6623382454002
"205" "Bata Nagar" 30.7384227 76.5459878
"206" "Birati" 22.6632119 88.4271269
"207" "Survey Park" 38.64852035 -77.181378589662
"208" "Bata Nagar" 30.7384227 76.5459878
"209" "Hatiara Extention" NA NA
"210" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"211" "Andul" -7.0684488 -77.7983925
"212" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"213" "locality" 69.703426 19.6204635
"214" "Khardah" 22.72562625 88.3734974516718
"215" "Parnasree Pally" NA NA
"216" "Baghajatin" 22.4839937 88.3755826
"217" "Salt Lake City Sector 3" 22.5788222 88.41778335
"218" "sarsuna banerjee para" NA NA
"219" "Salt Lake City Sector 3" 22.5788222 88.41778335
"220" "Near Seven Tanks Road Dumdum Station" NA NA
"221" "Jyangra" 22.6176496 88.4346393
"222" "Barasat" 22.7191072 88.4826229
"223" "Sukchar" 26.5794123 87.3016655
"224" "Tagore Park, Kasba" 22.5074774 88.368852
"225" "Barrackpore" 22.7641623 88.3776088
"226" "Silpara, Purba Barisha" NA NA
"227" "Konnagar" 22.69972 88.3519784
"228" "Madhyam Gram" NA NA
"229" "Kudghat, Ashok Nagar" 22.4825494 88.3257073
"230" "Salt Lake City Sector 5" 22.5788646 88.4175366
"231" "Salt Lake City Sector 3" 22.5788222 88.41778335
"232" "Dum Dum Cantonment" 22.6364899 88.4120228
"233" "Kasba" 25.8779519 87.5469272217681
"234" "Salt Lake City" 40.7596198 -111.8867975
"235" "Lake Gardens" 22.5080547 88.3533289
"236" "Silpara, Purba Barisha" NA NA
"237" "Howrah" 22.5736296 88.3251045
"238" "Birati" 22.6632119 88.4271269
"239" "Baranagar" 22.6493438 88.3685302
"240" "Baguihati" 22.61139775 88.4284820769643
"241" "BRAHMAPUR NEAR BANSDRONI" NA NA
"242" "Kasba" 25.8779519 87.5469272217681
"243" "tollygunge Kabardanga" NA NA
"244" "Naktala, Garia" NA NA
"245" "safuipara" 22.50242585 88.3845668951326
"246" "Annapurna Apartment, Rajarhat Chowmatha" NA NA
"247" "Park Circus, Ballygunge" NA NA
"248" "Belghoria" 22.6523393 88.4287029
"249" "Haridevpur, Paschim Putiary" NA NA
"250" "Bhawanipur" 25.61627915 87.1967720807286
"251" "Santoshpur" 22.5240566 88.2710655
"252" "Tollygunge" 22.5002426 88.3490494
"253" "Behala" 22.4976756 88.3176763
"254" "Jaffarpore Rifle Range Road" NA NA
"255" "Dariya" 11.2374681 4.6940365
"256" "Howrah" 22.5736296 88.3251045
"257" "Sodepur" 22.6980373 88.3803135
"258" "Liluah" 22.6207446 88.3392327
"259" "Near DumDum Metro" NA NA
"260" "Sukanta Nagar, New Barrakpur" NA NA
"261" "Kumarpara, Narendrapur" NA NA
"262" "Salt Lake City" 40.7596198 -111.8867975
"263" "Barrackpore" 22.7641623 88.3776088
"264" "Narendrapur" 22.4541674 88.4183764
"265" "Sahid Nagar" 22.5028248 88.3761702966341
"266" "Belghoria" 22.6523393 88.4287029
"267" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"268" "Kasba" 25.8779519 87.5469272217681
"269" "kasba bosepukur" NA NA
"270" "Kanchrapara" 22.9496431 88.4378838
"271" "Bansdroni" 22.474604 88.3609589
"272" "Garia Station, Garia" 22.4666866 88.39962985
"273" "Panchanantala Road" 22.512842 88.3679048
"274" "Bow Bazar" 23.7890822 90.3624993
"275" "Kasba" 25.8779519 87.5469272217681
"276" "Sakher Bazar, Purba Barisha" NA NA
"277" "New Alipore" 22.5105326 88.3354264
"278" "My Own House" 39.9513886 -75.2019073
"279" "Park Circus, Ballygunge" NA NA
"280" "Joka" 33.6306299 114.6423617
"281" "Azadgarh" 22.4866722 88.3556155
"282" "Mandirtala" 22.5696052 88.3170771887742
"283" "Dhakuria" 22.5094085 88.371185
"284" "Rabindra Sarovar Metro" NA NA
"285" "Garia" 22.4673397 88.3997883
"286" "Santoshpur" 22.5240566 88.2710655
"287" "Regent Estate, Bijoygarh" NA NA
"288" "Kasba" 25.8779519 87.5469272217681
"289" "south station pally dankuni" NA NA
"290" "Kumargali" 46.5586201 49.1854714
"291" "Baguihati" 22.61139775 88.4284820769643
"292" "Sarsuna" 22.4780444 88.2910436
"293" "Salt Lake City" 40.7596198 -111.8867975
"294" "Garia" 22.4673397 88.3997883
"295" "Thakurpukur" 22.4589862 88.307805
"296" "Brahmapur" 19.29990405 84.8071371267063
"297" "Santoshpur" 22.5240566 88.2710655
"298" "Garia" 22.4673397 88.3997883
"299" "Purba Barisha" NA NA
"300" "Sodepur" 22.6980373 88.3803135
"301" "Jadavpur University" 22.5611537 88.4131019353334
"302" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"303" "Pathak Para, Behala" NA NA
"304" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"305" "Behala" 22.4976756 88.3176763
"306" "Thakurpukur" 22.4589862 88.307805
"307" "Hatiara" -3.7713082 128.1432143
"308" "Haridevpur, Paschim Putiary" NA NA
"309" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"310" "Rabindrapally, Garia" NA NA
"311" "Salt Lake City Sector 5" 22.5788646 88.4175366
"312" "Salt Lake City Sector 5" 22.5788646 88.4175366
"313" "Bangur Avenue, Lake Town" NA NA
"314" "Keshtopur" 22.59781745 88.4270025129803
"315" "Sakher Bazar, Purba Barisha" NA NA
"316" "Garia" 22.4673397 88.3997883
"317" "Hooghly" 22.9052114 88.3760639
"318" "Kalabagan, Tollygunge" 22.4996494 88.3510628
"319" "Rishra" 22.7261414 88.343487
"320" "Action Area 3, Rajarhat Newtown" NA NA
"321" "Anandapuri, Barrackpore" 22.7585615 88.3772151
"322" "Barasat" 22.7191072 88.4826229
"323" "Rabindrapally Kestopur" NA NA
"324" "Sodepur" 22.6980373 88.3803135
"325" "Nungi More" NA NA
"326" "Baishnabghata, Garia" NA NA
"327" "Santoshpur - EM Bypass" NA NA
"328" "Bansdroni" 22.474604 88.3609589
"329" "Baruipur" 22.3436457 88.4896097147604
"330" "Garia" 22.4673397 88.3997883
"331" "Belghoria" 22.6523393 88.4287029
"332" "Nalta" 30.9714459 77.2977018
"333" "Vivek Nagar, Garfa" NA NA
"334" "Kalindi" 22.3707251 88.8592342
"335" "Ballygunge" 22.5204877 88.3721746
"336" "Salt Lake City Sector 5" 22.5788646 88.4175366
"337" "Survey park, Santoshpur, kolkata" NA NA
"338" "Sodepur" 22.6980373 88.3803135
"339" "2 BHK" 50.49267485 11.669562973529
"340" "Baranagar" 22.6493438 88.3685302
"341" "Dum Dum Cantonment" 22.6364899 88.4120228
"342" "Barasat" 22.7191072 88.4826229
"343" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"344" "Dakshineswar" 22.663525 88.3574707000662
"345" "Garia Station, Garia" 22.4666866 88.39962985
"346" "New Garia Metro, New Garia" NA NA
"347" "Hati Bagan - Bansdroni" NA NA
"348" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"349" "Howrah" 22.5736296 88.3251045
"350" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"351" "Dum Dum" 22.6520597 88.4360417
"352" "Joka" 33.6306299 114.6423617
"353" "Kasba" 25.8779519 87.5469272217681
"354" "Dum Dum Metro" 22.64539635 88.4370975725473
"355" "Baishnabghata Patuli Township, Patuli" NA NA
"356" "Agarpara" 22.6828782 88.3853645
"357" "Dum Dum" 22.6520597 88.4360417
"358" "N.S.C Bose Road (Near Ushagate), New Alipore" NA NA
"359" "Garia" 22.4673397 88.3997883
"360" "Dashadron Newtown Rajarhat" NA NA
"361" "Barrackpore" 22.7641623 88.3776088
"362" "Anandapur" 21.33341315 86.0872147362799
"363" "New town near ecopark ." NA NA
"364" "Gandhi Colony, Netaji Nagar" 17.3904006 78.5342435
"365" "Em Bypass South East" NA NA
"366" "Gandhi Colony, Netaji Nagar" 17.3904006 78.5342435
"367" "Kasba" 25.8779519 87.5469272217681
"368" "Teghoria, Baguiati" 22.63012025 88.4338489
"369" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"370" "Thakurpukur" 22.4589862 88.307805
"371" "Baghajatin" 22.4839937 88.3755826
"372" "Kalyani" 22.9749723 88.4345915
"373" "Pranthik Society Library Road Bhadreswar" NA NA
"374" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"375" "Lake Town" 22.6057276 88.4029611
"376" "Kestopur" 22.5492755 88.5349025
"377" "Bijoygarh" 22.4872704 88.3685589
"378" "Baranagar" 22.6493438 88.3685302
"379" "Dum Dum Metro" 22.64539635 88.4370975725473
"380" "Agarpara" 22.6828782 88.3853645
"381" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"382" "Salt Lake City" 40.7596198 -111.8867975
"383" "Dasnagar" 22.5981344 88.3048368746154
"384" "Baksara" 50.2099758 87.2003777
"385" "Birati" 22.6632119 88.4271269
"386" "Agarpara" 22.6828782 88.3853645
"387" "Agarpara" 22.6828782 88.3853645
"388" "Thakurpukur" 22.4589862 88.307805
"389" "Baishnabghata Patuli, Patuli" NA NA
"390" "Jyangra" 22.6176496 88.4346393
"391" "Baghajatin" 22.4839937 88.3755826
"392" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"393" "Ramchandrapur north" 23.7730694 90.3591879
"394" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"395" "Gandhi Colony, Netaji Nagar" 17.3904006 78.5342435
"396" "Baguihati" 22.61139775 88.4284820769643
"397" "Dum Dum Metro" 22.64539635 88.4370975725473
"398" "Behala" 22.4976756 88.3176763
"399" "Thakurpukur" 22.4589862 88.307805
"400" "Garia Station, Garia" 22.4666866 88.39962985
"401" "Fartabad, Garia" 22.4662345 88.4025921
"402" "Belgharia" 22.6656371 88.3980035
"403" "Lake Town" 22.6057276 88.4029611
"404" "Baguiati" 22.609668 88.4276832
"405" "Barrackpore" 22.7641623 88.3776088
"406" "Ramkrishna Pally, Kaikhali" NA NA
"407" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"408" "Shyam Villa V, Dum Dum" NA NA
"409" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"410" "Anandapuri, Barrackpore" 22.7585615 88.3772151
"411" "Sarat Ghosh Garden, Dhakuria" 22.5094085 88.371185
"412" "locality" 69.703426 19.6204635
"413" "Baguiati" 22.609668 88.4276832
"414" "Salt Lake City" 40.7596198 -111.8867975
"415" "Purba Putiary" NA NA
"416" "Barasat" 22.7191072 88.4826229
"417" "Birati" 22.6632119 88.4271269
"418" "Garia Station, Garia" 22.4666866 88.39962985
"419" "Santragachi" 22.5822129 88.2798107
"420" "Birati" 22.6632119 88.4271269
"421" "Salt Lake City Sector 5" 22.5788646 88.4175366
"422" "Salt Lake City Sector 5" 22.5788646 88.4175366
"423" "Madurdaha, Hussainpur" NA NA
"424" "Salt Lake City Sector 5" 22.5788646 88.4175366
"425" "Dum Dum" 22.6520597 88.4360417
"426" "Airport Area Behala" NA NA
"427" "Sonarpur" 22.4441922 88.4326763062602
"428" "Picnic Garden, E M Bypass" NA NA
"429" "Bisharpara" 22.676678 88.4349544
"430" "Bisharpara" 22.676678 88.4349544
"431" "Nayabad" 35.1059 47.4245
"432" "Ananda Pally, Jadavpur" 22.4951079 88.3749813
"433" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"434" "Behala" 22.4976756 88.3176763
"435" "Airport Area" 22.1594157 113.5745988
"436" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"437" "Barrackpore" 22.7641623 88.3776088
"438" "Ranikuthi Telephone Exchange" NA NA
"439" "Hooghly-Chinsurah" 22.9052114 88.3760639
"440" "Bansdroni Mauza, Krishnanagar" NA NA
"441" "Kaikhali" 23.3171746 88.6623382454002
"442" "700051" 47.15546785 27.58731355
"443" "Jodhpur Park" 22.5056055 88.363674
"444" "Purba Sinthi Area" NA NA
"445" "Kadam Tala" NA NA
"446" "Baidyabati" 22.7949104 88.3317725
"447" "Bansdroni" 22.474604 88.3609589
"448" "Sodepur" 22.6980373 88.3803135
"449" "Jagacha" 22.59188285 88.2815620242978
"450" "New Town" 55.9554575 -3.1989995
"451" "Behala" 22.4976756 88.3176763
"452" "FC Block" 22.5803717 88.4092876
"453" "Sodepur" 22.6980373 88.3803135
"454" "Satgachi, South Dum Dum" NA NA
"455" "Hooghly-Chinsurah" 22.9052114 88.3760639
"456" "Behala" 22.4976756 88.3176763
"457" "AH Block, Salt Lake" 22.595662 88.4266073
"458" "Dhakuria -South East, Dhakuria" NA NA
"459" "Baghajatin" 22.4839937 88.3755826
"460" "Tollygunge" 22.5002426 88.3490494
"461" "Kasba" 25.8779519 87.5469272217681
"462" "Rajarhat" 22.6310615 88.4843003
"463" "CA 150 sector 1 saltlake" NA NA
"464" "Kaikhali" 23.3171746 88.6623382454002
"465" "Salt Lake City Sector 5" 22.5788646 88.4175366
"466" "Baughati" NA NA
"467" "Bansdroni" 22.474604 88.3609589
"468" "Salt Lake City Sector 5" 22.5788646 88.4175366
"469" "Garfa" 11.5518 8.92198
"470" "Dum Dum" 22.6520597 88.4360417
"471" "Baguiati" 22.609668 88.4276832
"472" "Shyam Bazar" 22.5979916 88.3694857
"473" "Baghajatin" 22.4839937 88.3755826
"474" "Bansdroni" 22.474604 88.3609589
"475" "Dum Dum" 22.6520597 88.4360417
"476" "Keshtopur" 22.59781745 88.4270025129803
"477" "Chandannagar, Hooghly-Chinsurah" NA NA
"478" "Sakuntala Park, Behala" NA NA
"479" "Jheel Road" 22.5055973 88.3721681
"480" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"481" "Garia" 22.4673397 88.3997883
"482" "Madhyam Gram" NA NA
"483" "Kumarpara, Narendrapur" NA NA
"484" "Santoshpur" 22.5240566 88.2710655
"485" "Noapara, Addarsha Pally" NA NA
"486" "Arobindo Pally, Paschim Putiary" NA NA
"487" "Dum Dum" 22.6520597 88.4360417
"488" "Naihati" 22.8886213 88.4239345
"489" "Howrah" 22.5736296 88.3251045
"490" "Garia" 22.4673397 88.3997883
"491" "Majarhati" NA NA
"492" "Baghajatin" 22.4839937 88.3755826
"493" "Lake Gardens" 22.5080547 88.3533289
"494" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"495" "Baishnabghata Patuli Township, Patuli" NA NA
"496" "Picnic Garden, Tiljala" NA NA
"497" "New Garia, Garia" 22.4727076 88.3977962
"498" "Santoshpur" 22.5240566 88.2710655
"499" "Baranagar" 22.6493438 88.3685302
"500" "Tollygunge" 22.5002426 88.3490494
"501" "Thakurpukur" 22.4589862 88.307805
"502" "Bansdroni Mauza, Krishnanagar" NA NA
"503" "Ramrajatala" 22.5886606 88.2966655
"504" "Lake Gardens" 22.5080547 88.3533289
"505" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"506" "Rash Behari Avenue Connector" 22.5208915 88.3724428
"507" "Baranagar" 22.6493438 88.3685302
"508" "New Town" 55.9554575 -3.1989995
"509" "Siriti, Tollygunge" NA NA
"510" "Salt Lake City" 40.7596198 -111.8867975
"511" "Nimta" 22.6684011 88.3823414
"512" "Michael Nagar, New Barrakpur" NA NA
"513" "Keshtopur" 22.59781745 88.4270025129803
"514" "Beliaghata" 22.5645667 88.3984066637133
"515" "Belgharia Nimta" 22.6684011 88.3823414
"516" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"517" "Vedic Village, Rajarhat" NA NA
"518" "Dum Dum" 22.6520597 88.4360417
"519" "Ballygunge" 22.5204877 88.3721746
"520" "Salt Lake City Sector 5" 22.5788646 88.4175366
"521" "Shyam Bazar" 22.5979916 88.3694857
"522" "Dashdrone" 22.6313786 88.4424234508928
"523" "Sangati Colony, Netaji Nagar" NA NA
"524" "Sahapur, New Alipore" NA NA
"525" "Shaheen Apartment, Andheri West" NA NA
"526" "Santacruz West" 19.0810735 72.8371727
"527" "Rose Queen, Old Khar" NA NA
"528" "Sabari Palm View, Chembur" NA NA
"529" "Mira Road" 19.2816975 72.8560676
"530" "Siddhivinayak, Bandra West" NA NA
"531" "parivar safalya chs" NA NA
"532" "Trump Tower, Worli" NA NA
"533" "Sion" 43.73903 0.00822
"534" "Ajmera Bhakti Park, Bhakti Park" NA NA
"535" "Sion Hospital Colony" 19.0363806 72.8598664
"536" "Sion" 43.73903 0.00822
"537" "Sion East, Sion" 19.0313226 72.8575876
"538" "Sai Palace Apartment, Vile Parle West" NA NA
"539" "Bhandup West" 19.1462636 72.9339461
"540" "Yogi Hills, Mulund West" NA NA
"541" "Hiranandani Castle Rock, Powai" NA NA
"542" "Charkop" 19.2141193 72.8258652
"543" "Bandra West" 19.0583358 72.8302669
"544" "Runwal Elegante, Andheri West" NA NA
"545" "Godrej Tranquil, Kandivali East" NA NA
"546" "Cuffe Parade" 18.9157866 72.8189036
"547" "Mahim West" 19.0321141 72.8394613
"548" "Prabhadevi" 19.0148811 72.8279556
"549" "Shapoorji Pallonji Vicinia, Chandivali" NA NA
"550" "Nakoda Heights, Nalasopara" NA NA
"551" "Worli" 19.0116962 72.8180702
"552" "Man Opus, Kashimira" NA NA
"553" "Lal Baug" 18.9935288 72.8424069
"554" "Malad East" 19.1860219 72.8563181
"555" "Goregaon West" 19.1633281 72.8411995
"556" "Dheeraj Hill View Tower, Thakur Village, Kandivali East" NA NA
"557" "Bombay Dyeing Two ICC, Dadar East" NA NA
"558" "Everard Nagar Co Operative Housing Society, Sion East" NA NA
"559" "shivsagar" 24.9741738 83.9037895
"560" "Kyraa Ariso Apartment, Chembur" NA NA
"561" "Lodha Azzuro , Parel" NA NA
"562" "Sheth Montana, Mulund West" NA NA
"563" "Gokul Regency Apartment, Thakur Complex" NA NA
